00OW               20191119                                                                                   
0601OWA1N       20200101000820100000005000 0100007870000957   
0601OWA1N       20200101000825100000005000 0100007960000962   
0601OWA1N       20200101000830100000005000 0100008030000965   
0601OWA1N       20200101000835100000005000 0100008100000967   
0601OWA1N       20200101000840100000005000 0100008170000970   
0601OWA1N       20200101000845100000005000 0100008260000975   
0601OWA1N       20200101000850100000005000 0100008340000978   
0601OWA1N       20200101000855100000005000 0100008420000982   
0601OWA1N       20200101000860100000005000 0100008500000986   
0601OWA1N       20200101000865100000005000 0100008580000989   
0601OWA1N       20200101000870100000005000 0100008680000995   
0601OWA1N       20200101000875100000005000 0100008760000998   
0601OWA1N       20200101000880100000005000 0100008840001002   
0601OWA1N       20200101000885100000005000 0100008930001006   
0601OWA1N       20200101000890100000005000 0100009010001010   
0601OWA1N       20200101000895100000005000 0100009110001015   
0601OWA1N       20200101000900100000005000 0100009190001018   
0601OWA1N       20200101000905100000005000 0100009270001021   
0601OWA1N       20200101000910100000005000 0100009360001026   
0601OWA1N       20200101000915100000005000 0100009440001029   
0601OWA1N       20200101000920100000005000 0100009540001034   
0601OWA1N       20200101000925100000005000 0100009630001038   
0601OWA1N       20200101000930100000005000 0100009720001042   
0601OWA1N       20200101000935100000005000 0100009800001045   
0601OWA1N       20200101000940100000005000 0100009890001049   
0601OWA1N       20200101000945100000005000 0100009980001053   
0601OWA1N       20200101000950100000005000 0100010070001057   
0601OWA1N       20200101000955100000005000 0100010160001061   
0601OWA1N       20200101000960100000005000 0100010240001064   
0601OWA1N       20200101000965100000005000 0100010340001069   
0601OWA1N       20200101000970100000005000 0100010420001071   
0601OWA1N       20200101000975100000005000 0100010510001075   
0601OWA1N       20200101000980100000005000 0100010590001078   
0601OWA1N       20200101000985100000005000 0100010680001082   
0601OWA1N       20200101000990100000005000 0100010780001086   
0601OWA1N       20200101000995100000005000 0100010860001089   
0601OWA1N       20200101001000100000005000 0100010950001092   
0601OWA1N       20200101001005100000005000 0100011030001095   
0601OWA1N       20200101001010100000005000 0100011120001098   
0601OWA1N       20200101001015100000005000 0100011220001103   
0601OWA1N       20200101001020100000005000 0100011300001105   
0601OWA1N       20200101001025100000005000 0100011390001109   
0601OWA1N       20200101001030100000005000 0100011470001111   
0601OWA1N       20200101001035100000005000 0100011560001114   
0601OWA1N       20200101001040100000005000 0100011650001118   
0601OWA1N       20200101001045100000005000 0100011740001121   
0601OWA1N       20200101001050100000005000 0100011830001124   
0601OWA1N       20200101001055100000005000 0100011910001126   
