00LU               20181210                                                                                   
0601LUA0N       20190101001940100000005000 0000038250001969   
0601LUA0N       20190101001945100000005000 0000038390001971   
0601LUA0N       20190101001950100000005000 0000038530001973   
0601LUA0N       20190101001955100000005000 0000038700001977   
0601LUA0N       20190101001960100000005000 0000038840001979   
0601LUA0N       20190101001965100000005000 0000038980001981   
0601LUA0N       20190101001970100000005000 0000039140001984   
0601LUA0N       20190101001975100000005000 0000039290001987   
0601LUA0N       20190101001980100000005000 0000039430001989   
0601LUA0N       20190101001985100000005000 0000039590001992   
0601LUA0N       20190101001990100000005000 0000039730001994   
0601LUA0N       20190101001995100000005000 0000039880001996   
0601LUA0N       20190101002000100000005000 0000040040002000   
0601LUA0N       20190101002005100000005000 0000040180002001   
0601LUA0N       20190101002010100000005000 0000040320002003   
0601LUA0N       20190101002015100000005000 0000040490002007   
0601LUA0N       20190101002020100000005000 0000040630002009   
0601LUA0N       20190101002025100000005000 0000040770002011   
0601LUA0N       20190101002030100000005000 0000040940002014   
0601LUA0N       20190101002035100000005000 0000041080002016   
0601LUA0N       20190101002040100000005000 0000041220002018   
0601LUA0N       20190101002045100000005000 0000041390002021   
0601LUA0N       20190101002050100000005000 0000041530002023   
0601LUA0N       20190101002055100000005000 0000041670002025   
0601LUA0N       20190101002060100000005000 0000041840002029   
0601LUA0N       20190101002065100000005000 0000041980002030   
0601LUA0N       20190101002070100000005000 0000042120002032   
0601LUA0N       20190101002075100000005000 0000042290002036   
0601LUA0N       20190101002080100000005000 0000042430002037   
0601LUA0N       20190101002085100000005000 0000042570002039   
0601LUA0N       20190101002090100000005000 0000042740002043   
0601LUA0N       20190101002095100000005000 0000042880002044   
0601LUA0N       20190101002100100000005000 0000043020002046   
0601LUA0N       20190101002105100000005000 0000043190002049   
0601LUA0N       20190101002110100000005000 0000043330002051   
0601LUA0N       20190101002115100000005000 0000043470002053   
0601LUA0N       20190101002120100000005000 0000043640002056   
0601LUA0N       20190101002125100000005000 0000043780002058   
0601LUA0N       20190101002130100000005000 0000043920002060   
0601LUA0N       20190101002135100000005000 0000044090002063   
0601LUA0N       20190101002140100000005000 0000044230002064   
0601LUA0N       20190101002145100000005000 0000044370002066   
0601LUA0N       20190101002150100000005000 0000044540002069   
0601LUA0N       20190101002155100000005000 0000044680002071   
0601LUA0N       20190101002160100000005000 0000044820002073   
0601LUA0N       20190101002165100000005000 0000044990002076   
0601LUA0N       20190101002170100000005000 0000045130002077   
